Gamma_x,Gamma_y,Gamma_z,mkc_gap
1.186845905397043488e+00,1.040439273355338701e+00,2.929917276917950453e-01,7.329254782504501797e-02
1.864968626372293770e+00,2.035312288823766025e+00,1.728105703777079949e+00,7.788810206628040689e-01
1.174635152067414090e+00,1.704452318277650091e+00,1.302997129531733078e+00,3.865899816607487605e-01
1.396180244451624919e+00,9.208562449162585040e-01,1.344315084848722863e+00,4.344955426566783352e-01
1.897559984414001200e+00,1.058632615031565249e+00,1.274451961701212221e+00,2.177622961593881357e-01
1.637345857468555543e+00,1.852039614063505812e+00,1.592960918243054413e+00,6.891335808240519611e-01
8.088939147446637667e-01,6.721071273745902186e-01,1.255853066968650733e+00,1.125739875753015706e-01
1.843372983418659405e+00,1.542312515914581628e+00,1.668819884305231760e+00,6.838797084005769911e-01
1.677823736691927525e+00,2.034005304472653819e+00,1.587131525383028485e+00,6.154749788011510958e-01
1.526487548443220987e+00,6.363056461742072623e-01,1.221443326825601305e+00,1.656307122782938457e-01
1.326101723340757710e+00,7.131919586826207524e-01,9.039428382391296868e-01,1.455165367904964757e-01
1.228191674039306180e+00,7.367502051683922915e-01,1.565265906746854618e+00,1.998379862304218157e-01
1.172730327895709301e+00,1.408424534529854277e+00,1.275594550971941299e+00,5.199501721688981615e-01
8.295275702986376620e-01,1.253252724683537211e+00,8.149046086816741363e-01,1.955897271483872935e-01
2.919356389048016753e-01,1.093346283356215087e+00,1.278674093448517679e+00,5.330391440624970834e-02
1.743727397918969579e+00,1.288740126527647245e+00,6.917387598821114203e-01,1.183757442453945430e-01
1.851299810953487501e+00,7.531363782278857055e-01,1.280793038376654591e+00,9.131480282552661976e-02
8.060433567359295282e-01,4.599003971697367410e-01,7.048683904749432072e-01,1.793627154543753210e-01
1.042189425458480923e+00,1.242449247508354171e+00,1.536571583930046891e+00,3.740335445183942120e-01
1.974533920614649496e+00,1.265131006468112718e+00,1.381983431298519971e+00,3.362902585759917073e-01
1.405861602131408983e+00,1.441443220190955055e+00,1.056367679554084615e+00,5.103930307472694938e-01
3.568644477478876142e-01,1.390589164649582266e+00,1.298379622275740219e+00,1.323274526870226175e-01
7.517833071911629306e-01,5.831331182461476637e-01,1.089248132536053015e+00,1.228341464506288450e-01
7.822892598561953514e-01,5.897609983566032277e-01,3.966241621682854435e-01,1.020479503343466599e-01
8.213773554213322781e-01,9.714437792307880626e-01,1.645067633208350477e+00,7.387675072188493175e-02
1.619181240204768057e+00,1.147041667928078157e+00,6.565693923876679827e-01,9.221491005548898556e-02
1.532874581485614396e+00,2.170748941071281024e+00,1.564918953263944257e+00,4.635222968391388143e-01
1.417117123562574355e+00,2.023229065276157979e+00,1.629456453692355922e+00,5.116722559893860378e-01
9.253789622368107093e-01,1.171026749869772177e+00,6.819464560407406672e-01,2.181493342038895999e-01
1.788161554454323454e+00,1.118921773482476789e+00,9.497395454528955172e-01,1.402498822405244816e-01
7.358753497403563992e-01,1.278037260951939480e+00,1.661579876457442762e+00,1.761663671174265033e-01
2.212056960466788347e+00,2.249318009060522705e+00,2.136519263706250449e+00,1.049629107556258045e+00
1.294152317221952453e+00,1.202019659610631619e+00,1.550163587993731218e+00,4.730041944194265380e-01
1.254351000425191875e+00,1.128399319593004657e+00,6.308271487630436880e-01,2.524377339654282348e-01
